anio,mes,sector,Produccion,empleados,establecimientos
2013,enero,Confeccionista,219953,452,6
2013,enero,Electronica,1260521,11001,27
2013,enero,Otros,2347676,515,3
2013,enero,Pesquera,2056519,415,3
2013,enero,Plastica,7415631,795,7
2013,enero,Textil,2067922,662,8
2013,febrero,Confeccionista,478428,465,6
2013,febrero,Electronica,1559546,11381,27
2013,febrero,Otros,1951162,497,3
2013,febrero,Pesquera,2016742,412,3
2013,febrero,Plastica,7822623,812,7
2013,febrero,Textil,2210462,677,8
2013,marzo,Confeccionista,455248,470,6
2013,marzo,Electronica,1935759,11753,27
2013,marzo,Otros,2009368,494,3
2013,marzo,Pesquera,1658171,433,3
2013,marzo,Plastica,8822137,741,7
2013,marzo,Textil,2999587,660,8
2013,abril,Confeccionista,569380,481,6
2013,abril,Electronica,2072806,12124,27
2013,abril,Otros,2451806,504,3
2013,abril,Pesquera,2612904,441,3
2013,abril,Plastica,9082189,742,7
2013,abril,Textil,2624834,689,8
2013,mayo,Confeccionista,610624,476,6
2013,mayo,Electronica,2538083,12227,27
2013,mayo,Otros,2956661,503,3
2013,mayo,Pesquera,1993512,422,3
2013,mayo,Plastica,8274301,767,7
2013,mayo,Textil,2943540,685,8
2013,junio,Confeccionista,517452,475,6
2013,junio,Electronica,1885665,12393,27
2013,junio,Otros,3135748,505,3
2013,junio,Pesquera,1168441,443,3
2013,junio,Plastica,6730647,740,7
2013,junio,Textil,2301203,686,8
2013,julio,Confeccionista,559855,481,6
2013,julio,Electronica,2532568,13120,27
2013,julio,Otros,4580512,505,3
2013,julio,Pesquera,1005065,407,3
2013,julio,Plastica,7355424,721,7
2013,julio,Textil,2936354,684,8
2013,agosto,Confeccionista,579140,477,6
2013,agosto,Electronica,2370333,13450,27
2013,agosto,Otros,3916906,482,3
2013,agosto,Pesquera,406121,416,3
2013,agosto,Plastica,7578185,723,7
2013,agosto,Textil,2670095,682,8
2013,septiembre,Confeccionista,481588,471,6
2013,septiembre,Electronica,2656865,13727,27
2013,septiembre,Otros,3115026,484,3
2013,septiembre,Pesquera,594932,413,3
2013,septiembre,Plastica,8049806,723,7
2013,septiembre,Textil,2770689,646,7
2013,octubre,Confeccionista,517940,459,6
2013,octubre,Electronica,2852557,13775,27
2013,octubre,Otros,1818850,487,3
2013,octubre,Pesquera,1220778,416,3
2013,octubre,Plastica,8469223,723,7
2013,octubre,Textil,3070526,671,8
2013,noviembre,Confeccionista,471284,452,6
2013,noviembre,Electronica,2196604,13618,27
2013,noviembre,Otros,3491840,475,3
2013,noviembre,Pesquera,1324136,421,3
2013,noviembre,Plastica,6927031,722,7
2013,noviembre,Textil,3067645,567,7
2013,diciembre,Confeccionista,319524,447,6
2013,diciembre,Electronica,1889497,11363,27
2013,diciembre,Otros,2390384,476,3
2013,diciembre,Pesquera,1316084,444,3
2013,diciembre,Plastica,5297455,726,7
2013,diciembre,Textil,2459273,726,8
2014,enero,Confeccionista,243751,442,6
2014,enero,Electronica,1044445,10116,27
2014,enero,Otros,2723714,453,3
2014,enero,Pesquera,1539932,422,3
2014,enero,Plastica,5063428,731,7
2014,enero,Textil,1894573,723,8
2014,febrero,Confeccionista,386730,460,6
2014,febrero,Electronica,1820322,9856,27
2014,febrero,Otros,2008138,451,3
2014,febrero,Pesquera,1670785,449,3
2014,febrero,Plastica,7197488,727,7
2014,febrero,Textil,2429042,731,8
2014,marzo,Confeccionista,413565,467,6
2014,marzo,Electronica,1674833,10277,27
2014,marzo,Otros,2576382,442,3
2014,marzo,Pesquera,1750969,449,3
2014,marzo,Plastica,7938433,717,7
2014,marzo,Textil,2532458,743,8
2014,abril,Confeccionista,446065,312,5
2014,abril,Electronica,1775357,9821,27
2014,abril,Otros,3606334,430,3
2014,abril,Pesquera,2488762,434,3
2014,abril,Plastica,7832127,717,7
2014,abril,Textil,2530014,725,8
2014,mayo,Confeccionista,547531,453,6
2014,mayo,Electronica,1782743,9884,27
2014,mayo,Otros,3376108,426,3
2014,mayo,Pesquera,2360634,439,3
2014,mayo,Plastica,8139937,718,7
2014,mayo,Textil,2821149,719,8
2014,junio,Confeccionista,450209,438,6
2014,junio,Electronica,1733643,10330,27
2014,junio,Otros,4029703,433,3
2014,junio,Pesquera,1259027,448,3
2014,junio,Plastica,7377338,721,7
2014,junio,Textil,2505722,687,8
2014,julio,Confeccionista,350009,437,6
2014,julio,Electronica,1850280,10683,27
2014,julio,Otros,3907903,423,3
2014,julio,Pesquera,199647,436,3
2014,julio,Plastica,7688990,732,7
2014,julio,Textil,2672114,680,8
2014,agosto,Confeccionista,365418,429,6
2014,agosto,Electronica,1804478,11512,27
2014,agosto,Otros,4115802,415,3
2014,agosto,Pesquera,849743,446,3
2014,agosto,Plastica,8947520,707,7
2014,agosto,Textil,2579214,668,8
2014,septiembre,Confeccionista,419830,427,6
2014,septiembre,Electronica,1768065,11845,27
2014,septiembre,Otros,3865077,415,3
2014,septiembre,Pesquera,937891,446,3
2014,septiembre,Plastica,7450281,709,7
2014,septiembre,Textil,2330475,657,8
2014,octubre,Confeccionista,462323,420,6
2014,octubre,Electronica,1606395,11471,27
2014,octubre,Otros,3933395,435,3
2014,octubre,Pesquera,1633869,438,3
2014,octubre,Plastica,8947616,723,7
2014,octubre,Textil,2343326,669,8
2014,noviembre,Confeccionista,375165,421,6
2014,noviembre,Electronica,1213095,11560,28
2014,noviembre,Otros,3548094,417,3
2014,noviembre,Pesquera,1166999,460,3
2014,noviembre,Plastica,7963218,734,7
2014,noviembre,Textil,2398956,660,8
2014,diciembre,Confeccionista,207726,382,6
2014,diciembre,Electronica,843945,8442,28
2014,diciembre,Otros,2326895,418,3
2014,diciembre,Pesquera,1381679,476,3
2014,diciembre,Plastica,6208416,755,7
2014,diciembre,Textil,1662619,656,8
2015,enero,Confeccionista,228059,397,6
2015,enero,Electronica,452592,8101,28
2015,enero,Otros,605296,405,3
2015,enero,Pesquera,1993768,484,3
2015,enero,Plastica,5699209,750,7
2015,enero,Textil,1753597,653,8
2015,febrero,Confeccionista,376008,394,6
2015,febrero,Electronica,1041700,8751,28
2015,febrero,Otros,2502838,401,3
2015,febrero,Pesquera,1833484,462,3
2015,febrero,Plastica,6703243,761,7
2015,febrero,Textil,2502238,659,8
2015,marzo,Confeccionista,418446,397,6
2015,marzo,Electronica,1366552,8784,28
2015,marzo,Otros,2784246,405,3
2015,marzo,Pesquera,1604794,445,3
2015,marzo,Plastica,8777702,753,7
2015,marzo,Textil,2881814,657,8
2015,abril,Confeccionista,402080,396,6
2015,abril,Electronica,1429323,9359,28
2015,abril,Otros,2974568,403,3
2015,abril,Pesquera,1311268,442,3
2015,abril,Plastica,8378931,751,7
2015,abril,Textil,2485116,665,8
2015,mayo,Confeccionista,348626,394,6
2015,mayo,Electronica,1434447,9944,28
2015,mayo,Otros,1645753,400,3
2015,mayo,Pesquera,1588143,439,3
2015,mayo,Plastica,8736245,787,7
2015,mayo,Textil,2449465,656,8
2015,junio,Confeccionista,371269,380,6
