anio,mes,sector,Produccion,empleados,establecimientos
2001,enero,Confeccionista,,326,6
2001,enero,Electronica,,2652,22
2001,enero,Otros,,90,4
2001,enero,Pesquera,,353,2
2001,enero,Plastica,,284,8
2001,enero,Textil,,274,8
2001,febrero,Confeccionista,,323,6
2001,febrero,Electronica,,2624,21
2001,febrero,Otros,,92,4
2001,febrero,Pesquera,,278,1
2001,febrero,Plastica,,282,7
2001,febrero,Textil,,283,8
2001,marzo,Confeccionista,,333,6
2001,marzo,Electronica,,2629,21
2001,marzo,Otros,,94,4
2001,marzo,Pesquera,,275,1
2001,marzo,Plastica,,284,7
2001,marzo,Textil,,286,8
2001,abril,Confeccionista,,337,6
2001,abril,Electronica,,2249,20
2001,abril,Otros,,103,4
2001,abril,Pesquera,,273,1
2001,abril,Plastica,,289,8
2001,abril,Textil,,283,8
2001,mayo,Confeccionista,,346,6
2001,mayo,Electronica,,2323,20
2001,mayo,Otros,,107,4
2001,mayo,Pesquera,,262,1
2001,mayo,Plastica,,289,8
2001,mayo,Textil,,306,8
2001,junio,Confeccionista,,352,6
2001,junio,Electronica,,2374,20
2001,junio,Otros,,105,4
2001,junio,Pesquera,,259,1
2001,junio,Plastica,,295,8
2001,junio,Textil,,329,8
2001,julio,Confeccionista,,354,6
2001,julio,Electronica,,2327,20
2001,julio,Otros,,112,4
2001,julio,Pesquera,,166,1
2001,julio,Plastica,,296,8
2001,julio,Textil,,329,8
2001,agosto,Confeccionista,,351,6
2001,agosto,Electronica,,2637,20
2001,agosto,Otros,,113,4
2001,agosto,Pesquera,,166,1
2001,agosto,Plastica,,294,8
2001,agosto,Textil,,345,8
2001,septiembre,Confeccionista,,347,6
2001,septiembre,Electronica,,2587,20
2001,septiembre,Otros,,115,4
2001,septiembre,Pesquera,,188,1
2001,septiembre,Plastica,,300,8
2001,septiembre,Textil,,338,8
2001,octubre,Confeccionista,,339,6
2001,octubre,Electronica,,2476,20
2001,octubre,Otros,,117,4
2001,octubre,Pesquera,,187,1
2001,octubre,Plastica,,305,8
2001,octubre,Textil,,321,8
2001,noviembre,Confeccionista,,307,5
2001,noviembre,Electronica,,2483,20
2001,noviembre,Otros,,122,4
2001,noviembre,Pesquera,,192,1
2001,noviembre,Plastica,,297,8
2001,noviembre,Textil,,301,8
2001,diciembre,Confeccionista,,301,5
2001,diciembre,Electronica,,1911,17
2001,diciembre,Otros,,46,2
2001,diciembre,Pesquera,,202,2
2001,diciembre,Plastica,,250,7
2001,diciembre,Textil,,261,7
2002,enero,Confeccionista,,317,6
2002,enero,Electronica,,1799,18
2002,enero,Otros,,101,4
2002,enero,Pesquera,,212,2
2002,enero,Plastica,,282,8
2002,enero,Textil,,256,8
2002,febrero,Confeccionista,,314,6
2002,febrero,Electronica,,1782,17
2002,febrero,Otros,,103,4
2002,febrero,Pesquera,,224,2
2002,febrero,Plastica,,284,8
2002,febrero,Textil,,257,8
2002,marzo,Confeccionista,,313,6
2002,marzo,Electronica,,1667,17
2002,marzo,Otros,,103,4
2002,marzo,Pesquera,,227,2
2002,marzo,Plastica,,277,8
2002,marzo,Textil,,261,8
2002,abril,Confeccionista,,309,6
2002,abril,Electronica,,1552,17
2002,abril,Otros,,103,4
2002,abril,Pesquera,,229,2
2002,abril,Plastica,,275,8
2002,abril,Textil,,252,8
2002,mayo,Confeccionista,,307,6
2002,mayo,Electronica,,1469,16
2002,mayo,Otros,,103,4
2002,mayo,Pesquera,,232,2
2002,mayo,Plastica,,270,8
2002,mayo,Textil,,252,8
2002,junio,Confeccionista,,306,6
2002,junio,Electronica,,1396,16
2002,junio,Otros,,110,4
2002,junio,Pesquera,,229,2
2002,junio,Plastica,,270,8
2002,junio,Textil,,231,8
2002,julio,Confeccionista,,305,6
2002,julio,Electronica,,1340,16
2002,julio,Otros,,110,4
2002,julio,Pesquera,,227,2
2002,julio,Plastica,,270,8
2002,julio,Textil,,240,8
2002,agosto,Confeccionista,,291,6
2002,agosto,Electronica,,1325,16
2002,agosto,Otros,,109,4
2002,agosto,Pesquera,,226,2
2002,agosto,Plastica,,274,8
2002,agosto,Textil,,242,8
2002,septiembre,Confeccionista,,287,6
2002,septiembre,Electronica,,1303,16
2002,septiembre,Otros,,109,4
2002,septiembre,Pesquera,,225,2
2002,septiembre,Plastica,,288,9
2002,septiembre,Textil,,260,8
2002,octubre,Confeccionista,,288,6
2002,octubre,Electronica,,1276,16
2002,octubre,Otros,,109,4
2002,octubre,Pesquera,,230,2
2002,octubre,Plastica,,293,9
2002,octubre,Textil,,272,8
2002,noviembre,Confeccionista,,267,5
2002,noviembre,Electronica,,1267,16
2002,noviembre,Otros,,105,4
2002,noviembre,Pesquera,,192,1
2002,noviembre,Plastica,,305,9
2002,noviembre,Textil,,289,8
