anio,mes,sector,empleados
2001,enero,Confeccionista,326
2001,febrero,Confeccionista,323
2001,marzo,Confeccionista,333
2001,abril,Confeccionista,337
2001,mayo,Confeccionista,346
2001,junio,Confeccionista,352
2001,julio,Confeccionista,354
2001,agosto,Confeccionista,351
2001,septiembre,Confeccionista,347
2001,octubre,Confeccionista,339
2001,noviembre,Confeccionista,307
2001,diciembre,Confeccionista,301
2002,enero,Confeccionista,317
2002,febrero,Confeccionista,314
2002,marzo,Confeccionista,313
2002,abril,Confeccionista,309
2002,mayo,Confeccionista,307
2002,junio,Confeccionista,306
2002,julio,Confeccionista,305
2002,agosto,Confeccionista,291
2002,septiembre,Confeccionista,287
2002,octubre,Confeccionista,288
2002,noviembre,Confeccionista,267
2002,diciembre,Confeccionista,267
2003,enero,Confeccionista,296
2003,febrero,Confeccionista,303
2003,marzo,Confeccionista,304
2003,abril,Confeccionista,318
2003,mayo,Confeccionista,338
2003,junio,Confeccionista,345
2003,julio,Confeccionista,361
2003,agosto,Confeccionista,367
2003,septiembre,Confeccionista,377
2003,octubre,Confeccionista,415
2003,noviembre,Confeccionista,402
2003,diciembre,Confeccionista,402
2004,enero,Confeccionista,407
2004,febrero,Confeccionista,419
2004,marzo,Confeccionista,425
2004,abril,Confeccionista,421
2004,mayo,Confeccionista,426
2004,junio,Confeccionista,424
2004,julio,Confeccionista,432
2004,agosto,Confeccionista,434
2004,septiembre,Confeccionista,430
2004,octubre,Confeccionista,432
2004,noviembre,Confeccionista,445
2004,diciembre,Confeccionista,421
2005,enero,Confeccionista,475
2005,febrero,Confeccionista,488
2005,marzo,Confeccionista,506
2005,abril,Confeccionista,508
2005,mayo,Confeccionista,525
2005,junio,Confeccionista,541
2005,julio,Confeccionista,533
2005,agosto,Confeccionista,534
2005,septiembre,Confeccionista,532
2005,octubre,Confeccionista,541
2005,noviembre,Confeccionista,550
2005,diciembre,Confeccionista,546
2006,enero,Confeccionista,552
2006,febrero,Confeccionista,596
2006,marzo,Confeccionista,658
2006,abril,Confeccionista,651
2006,mayo,Confeccionista,654
