anio,mes,sector,establecimientos
2001,enero,Confeccionista,6
2001,febrero,Confeccionista,6
2001,marzo,Confeccionista,6
2001,abril,Confeccionista,6
2001,mayo,Confeccionista,6
2001,junio,Confeccionista,6
2001,julio,Confeccionista,6
2001,agosto,Confeccionista,6
2001,septiembre,Confeccionista,6
2001,octubre,Confeccionista,6
2001,noviembre,Confeccionista,5
2001,diciembre,Confeccionista,5
2002,enero,Confeccionista,6
2002,febrero,Confeccionista,6
2002,marzo,Confeccionista,6
2002,abril,Confeccionista,6
2002,mayo,Confeccionista,6
2002,junio,Confeccionista,6
2002,julio,Confeccionista,6
2002,agosto,Confeccionista,6
2002,septiembre,Confeccionista,6
2002,octubre,Confeccionista,6
2002,noviembre,Confeccionista,5
2002,diciembre,Confeccionista,5
2003,enero,Confeccionista,6
2003,febrero,Confeccionista,6
2003,marzo,Confeccionista,6
2003,abril,Confeccionista,6
2003,mayo,Confeccionista,6
2003,junio,Confeccionista,6
2003,julio,Confeccionista,6
2003,agosto,Confeccionista,6
2003,septiembre,Confeccionista,6
2003,octubre,Confeccionista,6
2003,noviembre,Confeccionista,6
2003,diciembre,Confeccionista,6
2004,enero,Confeccionista,6
2004,febrero,Confeccionista,6
2004,marzo,Confeccionista,6
2004,abril,Confeccionista,6
2004,mayo,Confeccionista,6
2004,junio,Confeccionista,6
2004,julio,Confeccionista,6
2004,agosto,Confeccionista,6
2004,septiembre,Confeccionista,6
2004,octubre,Confeccionista,6
2004,noviembre,Confeccionista,6
2004,diciembre,Confeccionista,5
2005,enero,Confeccionista,6
2005,febrero,Confeccionista,6
2005,marzo,Confeccionista,6
2005,abril,Confeccionista,6
2005,mayo,Confeccionista,6
2005,junio,Confeccionista,6
2005,julio,Confeccionista,6
2005,agosto,Confeccionista,6
2005,septiembre,Confeccionista,6
2005,octubre,Confeccionista,6
2005,noviembre,Confeccionista,6
2005,diciembre,Confeccionista,6
2006,enero,Confeccionista,6
2006,febrero,Confeccionista,6
2006,marzo,Confeccionista,6
2006,abril,Confeccionista,6
2006,mayo,Confeccionista,6
2006,junio,Confeccionista,6
2006,julio,Confeccionista,6
2006,agosto,Confeccionista,6
2006,septiembre,Confeccionista,6
2006,octubre,Confeccionista,6
2006,noviembre,Confeccionista,6
2006,diciembre,Confeccionista,6
2007,enero,Confeccionista,6
2007,febrero,Confeccionista,6
2007,marzo,Confeccionista,7
2007,abril,Confeccionista,7
2007,mayo,Confeccionista,7
2007,junio,Confeccionista,7
2007,julio,Confeccionista,7
2007,agosto,Confeccionista,7
2007,septiembre,Confeccionista,7
2007,octubre,Confeccionista,7
2007,noviembre,Confeccionista,7
2007,diciembre,Confeccionista,7
2008,enero,Confeccionista,7
2008,febrero,Confeccionista,7
2008,marzo,Confeccionista,7
2008,abril,Confeccionista,7
2008,mayo,Confeccionista,6
2008,junio,Confeccionista,6
2008,julio,Confeccionista,6
2008,agosto,Confeccionista,6
2008,septiembre,Confeccionista,5
2008,octubre,Confeccionista,5
2008,noviembre,Confeccionista,5
2008,diciembre,Confeccionista,5
2009,enero,Confeccionista,6
2009,febrero,Confeccionista,6
2009,marzo,Confeccionista,6
2009,abril,Confeccionista,6
2009,mayo,Confeccionista,6
2009,junio,Confeccionista,6
2009,julio,Confeccionista,6
2009,agosto,Confeccionista,6
2009,septiembre,Confeccionista,6
2009,octubre,Confeccionista,5
2009,noviembre,Confeccionista,5
2009,diciembre,Confeccionista,5
2010,enero,Confeccionista,7
2010,febrero,Confeccionista,7
2010,marzo,Confeccionista,7
2010,abril,Confeccionista,7
2010,mayo,Confeccionista,7
2010,junio,Confeccionista,7
2010,julio,Confeccionista,7
2010,agosto,Confeccionista,7
2010,septiembre,Confeccionista,6
2010,octubre,Confeccionista,7
2010,noviembre,Confeccionista,7
2010,diciembre,Confeccionista,5
2011,enero,Confeccionista,6
2011,febrero,Confeccionista,6
2011,marzo,Confeccionista,6
2011,abril,Confeccionista,6
2011,mayo,Confeccionista,6
2011,junio,Confeccionista,6
2011,julio,Confeccionista,5
2011,agosto,Confeccionista,6
2011,septiembre,Confeccionista,6
2011,octubre,Confeccionista,5
2011,noviembre,Confeccionista,5
2011,diciembre,Confeccionista,5
2012,enero,Confeccionista,6
2012,febrero,Confeccionista,6
2012,marzo,Confeccionista,6
2012,abril,Confeccionista,6
2012,mayo,Confeccionista,6
2012,junio,Confeccionista,6
2012,julio,Confeccionista,6
2012,agosto,Confeccionista,6
2012,septiembre,Confeccionista,6
2012,octubre,Confeccionista,6
2012,noviembre,Confeccionista,6
2012,diciembre,Confeccionista,6
2013,enero,Confeccionista,6
