anio,mes,sector,Produccion
2013,enero,Confeccionista,219953
2013,febrero,Confeccionista,478428
2013,marzo,Confeccionista,455248
2013,abril,Confeccionista,569380
2013,mayo,Confeccionista,610624
2013,junio,Confeccionista,517452
2013,julio,Confeccionista,559855
2013,agosto,Confeccionista,579140
2013,septiembre,Confeccionista,481588
2013,octubre,Confeccionista,517940
2013,noviembre,Confeccionista,471284
2013,diciembre,Confeccionista,319524
2014,enero,Confeccionista,243751
2014,febrero,Confeccionista,386730
2014,marzo,Confeccionista,413565
2014,abril,Confeccionista,446065
2014,mayo,Confeccionista,547531
2014,junio,Confeccionista,450209
2014,julio,Confeccionista,350009
2014,agosto,Confeccionista,365418
2014,septiembre,Confeccionista,419830
2014,octubre,Confeccionista,462323
2014,noviembre,Confeccionista,375165
2014,diciembre,Confeccionista,207726
2015,enero,Confeccionista,228059
2015,febrero,Confeccionista,376008
2015,marzo,Confeccionista,418446
2015,abril,Confeccionista,402080
2015,mayo,Confeccionista,348626
2015,junio,Confeccionista,371269
2015,julio,Confeccionista,359448
2015,agosto,Confeccionista,366942
2015,septiembre,Confeccionista,442022
2015,octubre,Confeccionista,385704
2015,noviembre,Confeccionista,471951
2015,diciembre,Confeccionista,258387
2016,enero,Confeccionista,245152
2016,febrero,Confeccionista,433600
2016,marzo,Confeccionista,429906
2016,abril,Confeccionista,505113
2016,mayo,Confeccionista,435803
2016,junio,Confeccionista,407999
2016,julio,Confeccionista,448438
2016,agosto,Confeccionista,549292
2016,septiembre,Confeccionista,459349
2016,octubre,Confeccionista,281003
2016,noviembre,Confeccionista,324644
2016,diciembre,Confeccionista,322441
2017,enero,Confeccionista,294658
2017,febrero,Confeccionista,262767
2017,marzo,Confeccionista,302522
2017,abril,Confeccionista,260191
2017,mayo,Confeccionista,364380
2017,junio,Confeccionista,309982
2017,julio,Confeccionista,338130
2017,agosto,Confeccionista,351325
2017,septiembre,Confeccionista,333526
2017,octubre,Confeccionista,282717
2017,noviembre,Confeccionista,374939
2017,diciembre,Confeccionista,176271
2018,enero,Confeccionista,288888
2018,febrero,Confeccionista,335838
2018,marzo,Confeccionista,397081
2018,abril,Confeccionista,306392
2018,mayo,Confeccionista,301173
2018,junio,Confeccionista,304680
2018,julio,Confeccionista,368342
2018,agosto,Confeccionista,343150
2018,septiembre,Confeccionista,274763
2018,octubre,Confeccionista,310663
2018,noviembre,Confeccionista,258550
2018,diciembre,Confeccionista,105068
2019,enero,Confeccionista,133370
2019,febrero,Confeccionista,213945
