anio,mes,Produccion,empleados,establecimientos,sector_Textil,Produccion_predicha,mes_num,fecha,Sector
2001,enero,,353,2,False,2131588,01,2001-01-01,Pesquera (Azul)
2001,enero,,274,8,True,2370245,01,2001-01-01,Textil (naranja)
2001,febrero,,278,1,False,1966932,02,2001-02-01,Pesquera (Azul)
2001,febrero,,283,8,True,2385605,02,2001-02-01,Textil (naranja)
2001,marzo,,275,1,False,1961812,03,2001-03-01,Pesquera (Azul)
2001,marzo,,286,8,True,2390726,03,2001-03-01,Textil (naranja)
2001,abril,,273,1,False,1958398,04,2001-04-01,Pesquera (Azul)
2001,abril,,283,8,True,2385605,04,2001-04-01,Textil (naranja)
2001,mayo,,306,8,True,2424861,05,2001-05-01,Textil (naranja)
2001,mayo,,262,1,False,1939624,05,2001-05-01,Pesquera (Azul)
2001,junio,,259,1,False,1934504,06,2001-06-01,Pesquera (Azul)
2001,junio,,329,8,True,2464116,06,2001-06-01,Textil (naranja)
2001,julio,,166,1,False,1775775,07,2001-07-01,Pesquera (Azul)
2001,julio,,329,8,True,2464116,07,2001-07-01,Textil (naranja)
2001,agosto,,166,1,False,1775775,08,2001-08-01,Pesquera (Azul)
2001,agosto,,345,8,True,2491424,08,2001-08-01,Textil (naranja)
2001,septiembre,,338,8,True,2479477,09,2001-09-01,Textil (naranja)
2001,septiembre,,188,1,False,1813324,09,2001-09-01,Pesquera (Azul)
2001,octubre,,187,1,False,1811617,10,2001-10-01,Pesquera (Azul)
2001,octubre,,321,8,True,2450462,10,2001-10-01,Textil (naranja)
2001,noviembre,,192,1,False,1820151,11,2001-11-01,Pesquera (Azul)
2001,noviembre,,301,8,True,2416327,11,2001-11-01,Textil (naranja)
2001,diciembre,,202,2,False,1873868,12,2001-12-01,Pesquera (Azul)
2001,diciembre,,261,7,True,2311408,12,2001-12-01,Textil (naranja)
2002,enero,,212,2,False,1832931,01,2002-01-01,Pesquera (Azul)
2002,enero,,256,8,True,2281519,01,2002-01-01,Textil (naranja)
2002,febrero,,224,2,False,1853412,02,2002-02-01,Pesquera (Azul)
2002,febrero,,257,8,True,2283226,02,2002-02-01,Textil (naranja)
2002,marzo,,227,2,False,1858533,03,2002-03-01,Pesquera (Azul)
2002,marzo,,261,8,True,2290053,03,2002-03-01,Textil (naranja)
2002,abril,,229,2,False,1861946,04,2002-04-01,Pesquera (Azul)
2002,abril,,252,8,True,2274692,04,2002-04-01,Textil (naranja)
2002,mayo,,232,2,False,1867066,05,2002-05-01,Pesquera (Azul)
2002,mayo,,252,8,True,2274692,05,2002-05-01,Textil (naranja)
2002,junio,,231,8,True,2238850,06,2002-06-01,Textil (naranja)
2002,junio,,229,2,False,1861946,06,2002-06-01,Pesquera (Azul)
2002,julio,,227,2,False,1858533,07,2002-07-01,Pesquera (Azul)
2002,julio,,240,8,True,2254211,07,2002-07-01,Textil (naranja)
2002,agosto,,226,2,False,1856826,08,2002-08-01,Pesquera (Azul)
2002,agosto,,242,8,True,2257624,08,2002-08-01,Textil (naranja)
2002,septiembre,,225,2,False,1855119,09,2002-09-01,Pesquera (Azul)
2002,septiembre,,260,8,True,2288346,09,2002-09-01,Textil (naranja)
2002,octubre,,272,8,True,2308827,10,2002-10-01,Textil (naranja)
2002,octubre,,230,2,False,1863653,10,2002-10-01,Pesquera (Azul)
2002,noviembre,,192,1,False,1762147,11,2002-11-01,Pesquera (Azul)
2002,noviembre,,289,8,True,2337842,11,2002-11-01,Textil (naranja)
